Total # of credes: 400 | revocation epoch: 9 | took: 15.212375044822693 ms
Total # of credes: 400 | revocation epoch: 9 | took: 16.63183295726776 ms
Total # of credes: 400 | revocation epoch: 9 | took: 496.5593330860138 ms
Total # of credes: 400 | revocation epoch: 10 | took: 13.220041990280151 ms
Total # of credes: 400 | revocation epoch: 10 | took: 13.588292002677917 ms
Total # of credes: 400 | revocation epoch: 10 | took: 15.715041995048523 ms
Total # of credes: 400 | revocation epoch: 10 | took: 14.61300003528595 ms
Total # of credes: 400 | revocation epoch: 10 | took: 13.462666988372803 ms
Total # of credes: 400 | revocation epoch: 10 | took: 13.578125 ms
Total # of credes: 400 | revocation epoch: 10 | took: 15.009374976158142 ms
Total # of credes: 400 | revocation epoch: 10 | took: 15.264625072479248 ms
Total # of credes: 400 | revocation epoch: 10 | took: 14.924957990646362 ms
Total # of credes: 400 | revocation epoch: 10 | took: 305.0951670408249 ms
Total # of credes: 400 | revocation epoch: 11 | took: 14.44379198551178 ms
Total # of credes: 400 | revocation epoch: 11 | took: 12.746875047683716 ms
Total # of credes: 400 | revocation epoch: 11 | took: 13.673083066940308 ms
Total # of credes: 400 | revocation epoch: 11 | took: 12.76437497138977 ms
Total # of credes: 400 | revocation epoch: 11 | took: 13.511916995048523 ms
Total # of credes: 400 | revocation epoch: 11 | took: 13.373500108718872 ms
Total # of credes: 400 | revocation epoch: 11 | took: 14.94741702079773 ms
Total # of credes: 400 | revocation epoch: 11 | took: 15.209375023841858 ms
Total # of credes: 400 | revocation epoch: 11 | took: 17.146250009536743 ms
Total # of credes: 400 | revocation epoch: 11 | took: 397.3980840444565 ms
Total # of credes: 400 | revocation epoch: 12 | took: 13.681874990463257 ms
Total # of credes: 400 | revocation epoch: 12 | took: 19.045333981513977 ms
Total # of credes: 400 | revocation epoch: 12 | took: 14.361541986465454 ms
Total # of credes: 400 | revocation epoch: 12 | took: 13.858667016029358 ms
Total # of credes: 400 | revocation epoch: 12 | took: 14.696707963943481 ms
Total # of credes: 400 | revocation epoch: 12 | took: 16.007750034332275 ms
Total # of credes: 400 | revocation epoch: 12 | took: 14.468083024024963 ms
Total # of credes: 400 | revocation epoch: 12 | took: 14.688959002494812 ms
Total # of credes: 400 | revocation epoch: 12 | took: 15.433249950408936 ms
Total # of credes: 400 | revocation epoch: 12 | took: 401.92316699028015 ms
Total # of credes: 400 | revocation epoch: 13 | took: 13.20370900630951 ms
Total # of credes: 400 | revocation epoch: 13 | took: 13.232333064079285 ms
Total # of credes: 400 | revocation epoch: 13 | took: 13.12291693687439 ms
Total # of credes: 400 | revocation epoch: 13 | took: 12.95187497138977 ms
Total # of credes: 400 | revocation epoch: 13 | took: 13.64900004863739 ms
Total # of credes: 400 | revocation epoch: 13 | took: 15.036332964897156 ms
Total # of credes: 400 | revocation epoch: 13 | took: 15.335624933242798 ms
Total # of credes: 400 | revocation epoch: 13 | took: 13.680750012397766 ms
Total # of credes: 400 | revocation epoch: 13 | took: 17.127917051315308 ms
Total # of credes: 400 | revocation epoch: 13 | took: 1116.1638330221176 ms
Total # of credes: 400 | revocation epoch: 14 | took: 17.11708390712738 ms
Total # of credes: 400 | revocation epoch: 14 | took: 13.696625113487244 ms
Total # of credes: 400 | revocation epoch: 14 | took: 16.69979202747345 ms
Total # of credes: 400 | revocation epoch: 14 | took: 13.893750071525574 ms
Total # of credes: 400 | revocation epoch: 14 | took: 16.27366602420807 ms
Total # of credes: 400 | revocation epoch: 14 | took: 13.869708061218262 ms
Total # of credes: 400 | revocation epoch: 14 | took: 13.067708015441895 ms
Total # of credes: 400 | revocation epoch: 14 | took: 13.66937506198883 ms
Total # of credes: 400 | revocation epoch: 14 | took: 13.792624950408936 ms
Total # of credes: 400 | revocation epoch: 14 | took: 315.7294590473175 ms
Total # of credes: 400 | revocation epoch: 15 | took: 15.00629198551178 ms
Total # of credes: 400 | revocation epoch: 15 | took: 16.192999958992004 ms
Total # of credes: 400 | revocation epoch: 15 | took: 13.774457931518555 ms
Total # of credes: 400 | revocation epoch: 15 | took: 14.705541968345642 ms
Total # of credes: 400 | revocation epoch: 15 | took: 12.717584013938904 ms
Total # of credes: 400 | revocation epoch: 15 | took: 16.056707978248596 ms
Total # of credes: 400 | revocation epoch: 15 | took: 12.653957962989807 ms
Total # of credes: 400 | revocation epoch: 15 | took: 14.064291000366211 ms
Total # of credes: 400 | revocation epoch: 15 | took: 12.600124955177307 ms
Total # of credes: 400 | revocation epoch: 15 | took: 347.7730829715729 ms
Total # of credes: 400 | revocation epoch: 16 | took: 12.850375056266785 ms
Total # of credes: 400 | revocation epoch: 16 | took: 16.277459025382996 ms
Total # of credes: 400 | revocation epoch: 16 | took: 15.046875 ms
Total # of credes: 400 | revocation epoch: 16 | took: 13.555875062942505 ms
Total # of credes: 400 | revocation epoch: 16 | took: 15.232250094413757 ms
Total # of credes: 400 | revocation epoch: 16 | took: 13.959750056266785 ms
Total # of credes: 400 | revocation epoch: 16 | took: 13.327124953269958 ms
Total # of credes: 400 | revocation epoch: 16 | took: 13.006667017936707 ms
Total # of credes: 400 | revocation epoch: 16 | took: 14.401124954223633 ms
Total # of credes: 400 | revocation epoch: 16 | took: 534.0707919597626 ms
Total # of credes: 400 | revocation epoch: 17 | took: 16.045875072479248 ms
Total # of credes: 400 | revocation epoch: 17 | took: 15.404958009719849 ms
Total # of credes: 400 | revocation epoch: 17 | took: 15.280624985694885 ms
Total # of credes: 400 | revocation epoch: 17 | took: 13.131749987602234 ms
Total # of credes: 400 | revocation epoch: 17 | took: 15.940917015075684 ms
Total # of credes: 400 | revocation epoch: 17 | took: 16.35837495326996 ms
Total # of credes: 400 | revocation epoch: 17 | took: 13.705083012580872 ms
Total # of credes: 400 | revocation epoch: 17 | took: 14.390083074569702 ms
Total # of credes: 400 | revocation epoch: 17 | took: 13.121165990829468 ms
Total # of credes: 400 | revocation epoch: 17 | took: 242.29162502288818 ms
Total # of credes: 400 | revocation epoch: 18 | took: 13.650624990463257 ms
Total # of credes: 400 | revocation epoch: 18 | took: 14.89870798587799 ms
Total # of credes: 400 | revocation epoch: 18 | took: 13.386834025382996 ms
Total # of credes: 400 | revocation epoch: 18 | took: 16.357625007629395 ms
Total # of credes: 400 | revocation epoch: 18 | took: 13.579957962036133 ms
Total # of credes: 400 | revocation epoch: 18 | took: 15.073750019073486 ms
Total # of credes: 400 | revocation epoch: 18 | took: 16.325124979019165 ms
Total # of credes: 400 | revocation epoch: 18 | took: 16.913791060447693 ms
Total # of credes: 400 | revocation epoch: 18 | took: 12.874916076660156 ms
Total # of credes: 400 | revocation epoch: 18 | took: 794.4957500696182 ms
Total # of credes: 400 | revocation epoch: 19 | took: 13.730375051498413 ms
Total # of credes: 400 | revocation epoch: 19 | took: 13.288749933242798 ms
Total # of credes: 400 | revocation epoch: 19 | took: 13.546875 ms
Total # of credes: 400 | revocation epoch: 19 | took: 14.98691701889038 ms
Total # of credes: 400 | revocation epoch: 19 | took: 13.290249943733215 ms
Total # of credes: 400 | revocation epoch: 19 | took: 12.833791971206665 ms
Total # of credes: 400 | revocation epoch: 19 | took: 16.34429097175598 ms
Total # of credes: 400 | revocation epoch: 19 | took: 17.96274995803833 ms
Total # of credes: 400 | revocation epoch: 19 | took: 14.194957971572876 ms
Total # of credes: 400 | revocation epoch: 19 | took: 484.6701670885086 ms
Total # of credes: 400 | revocation epoch: 20 | took: 15.759209036827087 ms
Total # of credes: 400 | revocation epoch: 20 | took: 12.882624983787537 ms
Total # of credes: 400 | revocation epoch: 20 | took: 13.745165944099426 ms
Total # of credes: 400 | revocation epoch: 20 | took: 17.456542015075684 ms
Total # of credes: 400 | revocation epoch: 20 | took: 15.774207949638367 ms
Total # of credes: 400 | revocation epoch: 20 | took: 14.198708057403564 ms
Total # of credes: 400 | revocation epoch: 20 | took: 19.434916973114014 ms
Total # of credes: 400 | revocation epoch: 20 | took: 14.139582991600037 ms
Total # of credes: 400 | revocation epoch: 20 | took: 16.265542030334473 ms
